common name,TOLID,sci_name
European fire-bellied toad,aBomBom1,Bombina bombina
Maguari stork,bCicMag1,Ciconia maguari
House finch,bHaeMex1,Haemorhous mexicanus
Budgerigar (mat),bMelUnd1.mat,Melopsittacus undulatus
Budgerigar (pat),bMelUnd1.pat,Melopsittacus undulatus
Kākāpō,bStrHab1,Strigopus habroptilus
Mudskipper (P. magnuspinnatus),fPerMag1,Periophtalmus magnuspinnatus
Chub mackerel ,fScoJap1,Scomber japonicus
African grass rat (mat),mArvNil1.mat,Arvicanthis niloticus
African grass rat (pat),mArvNil1.pat,Arvicanthis niloticus
Southern tamandua,mTamTet1,Tamandua tetradactyla 
Black rhinoceros (pat),mDicBic1.pat,Diceros bicornis
Black rhinoceros  (mat),mDicBic1.mat,Diceros bicornis
Clouded leopard ,mNeoNeb1,Neofelis nebulosa
Common bottlenose dolphin (mat),mTurTru1.mat,Tursiops truncatus
Common bottlenose dolphin (pat),mTurTru1.pat,Tursiops truncatus
Bolson tortoise (mat),rGopFla2.mat,Gopherus flavomarginatus
Bolson tortoise (pat),rGopFla2.pat,Gopherus flavomarginatus
Great white shark,sCarCar2,Carcharodon carcharias
Common shrew,mSorAra2,Sorex araneus
Gray whale,mEscRob2,Eschrichtius robustus